Year,phil,predic,avg_feb_pa,avg_mar_pa,
1895,No Record,0,17,31.3,"{year:""1895"",avg_feb:17,avg_mar:31.3},"
1896,No Record,0,26.6,27.8,"{year:""1896"",avg_feb:26.6,avg_mar:27.8},"
1897,No Record,0,27.9,36.9,"{year:""1897"",avg_feb:27.9,avg_mar:36.9},"
1898,Full Shadow,3,26.7,42,"{year:""1898"",avg_feb:26.7,avg_mar:42},"
1899,No Record,0,20,34,"{year:""1899"",avg_feb:20,avg_mar:34},"
1900,Full Shadow,3,24.1,29.3,"{year:""1900"",avg_feb:24.1,avg_mar:29.3},"
1901,Full Shadow,3,18.9,35.1,"{year:""1901"",avg_feb:18.9,avg_mar:35.1},"
1902,No Record,0,21,38.8,"{year:""1902"",avg_feb:21,avg_mar:38.8},"
1903,Full Shadow,3,28,44.5,"{year:""1903"",avg_feb:28,avg_mar:44.5},"
1904,Full Shadow,3,19.2,34,"{year:""1904"",avg_feb:19.2,avg_mar:34},"
1905,Full Shadow,3,18.1,36.9,"{year:""1905"",avg_feb:18.1,avg_mar:36.9},"
1906,Full Shadow,3,25.3,29.1,"{year:""1906"",avg_feb:25.3,avg_mar:29.1},"
1907,Full Shadow,3,20.1,39.5,"{year:""1907"",avg_feb:20.1,avg_mar:39.5},"
1908,Full Shadow,3,22.1,38.4,"{year:""1908"",avg_feb:22.1,avg_mar:38.4},"
1909,Full Shadow,3,32.9,33.1,"{year:""1909"",avg_feb:32.9,avg_mar:33.1},"
1910,Full Shadow,3,23.8,42.6,"{year:""1910"",avg_feb:23.8,avg_mar:42.6},"
1911,Full Shadow,3,28.5,32.8,"{year:""1911"",avg_feb:28.5,avg_mar:32.8},"
1912,Full Shadow,3,21.1,31.5,"{year:""1912"",avg_feb:21.1,avg_mar:31.5},"
1913,Full Shadow,3,25,40,"{year:""1913"",avg_feb:25,avg_mar:40},"
1914,Full Shadow,3,18.7,31.7,"{year:""1914"",avg_feb:18.7,avg_mar:31.7},"
1915,Full Shadow,3,30.6,30.3,"{year:""1915"",avg_feb:30.6,avg_mar:30.3},"
1916,Full Shadow,3,22.8,28.2,"{year:""1916"",avg_feb:22.8,avg_mar:28.2},"
1917,Full Shadow,3,23,35.4,"{year:""1917"",avg_feb:23,avg_mar:35.4},"
1918,Full Shadow,3,25.7,39.3,"{year:""1918"",avg_feb:25.7,avg_mar:39.3},"
1919,Full Shadow,3,29.6,38.6,"{year:""1919"",avg_feb:29.6,avg_mar:38.6},"
1920,Full Shadow,3,23,36.7,"{year:""1920"",avg_feb:23,avg_mar:36.7},"
1921,Full Shadow,3,30,45.4,"{year:""1921"",avg_feb:30,avg_mar:45.4},"
1922,Full Shadow,3,30.1,37.1,"{year:""1922"",avg_feb:30.1,avg_mar:37.1},"
1923,Full Shadow,3,22.1,34.3,"{year:""1923"",avg_feb:22.1,avg_mar:34.3},"
1924,Full Shadow,3,23.9,33.5,"{year:""1924"",avg_feb:23.9,avg_mar:33.5},"
1925,Full Shadow,3,32.8,38.1,"{year:""1925"",avg_feb:32.8,avg_mar:38.1},"
1926,Full Shadow,3,25.8,30.2,"{year:""1926"",avg_feb:25.8,avg_mar:30.2},"
1927,Full Shadow,3,32,39.2,"{year:""1927"",avg_feb:32,avg_mar:39.2},"
1928,Full Shadow,3,27.3,34,"{year:""1928"",avg_feb:27.3,avg_mar:34},"
1929,Full Shadow,3,24.7,41,"{year:""1929"",avg_feb:24.7,avg_mar:41},"
1930,Full Shadow,3,32.2,35.1,"{year:""1930"",avg_feb:32.2,avg_mar:35.1},"
1931,Full Shadow,3,29,33.7,"{year:""1931"",avg_feb:29,avg_mar:33.7},"
1932,Full Shadow,3,32.6,30.8,"{year:""1932"",avg_feb:32.6,avg_mar:30.8},"
1933,Full Shadow,3,28.4,33.8,"{year:""1933"",avg_feb:28.4,avg_mar:33.8},"
1934,No Shadow,1,15.2,32.1,"{year:""1934"",avg_feb:15.2,avg_mar:32.1},"
1935,Full Shadow,3,25.8,40,"{year:""1935"",avg_feb:25.8,avg_mar:40},"
1936,Full Shadow,3,18.3,39.4,"{year:""1936"",avg_feb:18.3,avg_mar:39.4},"
1937,Full Shadow,3,28.5,31.4,"{year:""1937"",avg_feb:28.5,avg_mar:31.4},"
1938,Full Shadow,3,31.4,40.1,"{year:""1938"",avg_feb:31.4,avg_mar:40.1},"
1939,Full Shadow,3,30.2,35.6,"{year:""1939"",avg_feb:30.2,avg_mar:35.6},"
1940,Full Shadow,3,26.3,29.5,"{year:""1940"",avg_feb:26.3,avg_mar:29.5},"
1941,Full Shadow,3,23.6,28.9,"{year:""1941"",avg_feb:23.6,avg_mar:28.9},"
1942,Partial Shadow,2,23.2,37.8,"{year:""1942"",avg_feb:23.2,avg_mar:37.8},"
1943,No Record,0,27.6,34.7,"{year:""1943"",avg_feb:27.6,avg_mar:34.7},"
1944,Full Shadow,3,27.5,32.7,"{year:""1944"",avg_feb:27.5,avg_mar:32.7},"
1945,Full Shadow,3,27.1,46.2,"{year:""1945"",avg_feb:27.1,avg_mar:46.2},"
1946,Full Shadow,3,27.4,45.3,"{year:""1946"",avg_feb:27.4,avg_mar:45.3},"
1947,Full Shadow,3,21.7,30.3,"{year:""1947"",avg_feb:21.7,avg_mar:30.3},"
1948,Full Shadow,3,25.6,38.3,"{year:""1948"",avg_feb:25.6,avg_mar:38.3},"
1949,Full Shadow,3,32.9,36.8,"{year:""1949"",avg_feb:32.9,avg_mar:36.8},"
1950,No Shadow,1,27.4,30.8,"{year:""1950"",avg_feb:27.4,avg_mar:30.8},"
1951,Full Shadow,3,28.9,36.1,"{year:""1951"",avg_feb:28.9,avg_mar:36.1},"
1952,Full Shadow,3,30.6,34.6,"{year:""1952"",avg_feb:30.6,avg_mar:34.6},"
1953,Full Shadow,3,31.8,37.9,"{year:""1953"",avg_feb:31.8,avg_mar:37.9},"
1954,Full Shadow,3,33.6,35,"{year:""1954"",avg_feb:33.6,avg_mar:35},"
1955,Full Shadow,3,27.3,37.2,"{year:""1955"",avg_feb:27.3,avg_mar:37.2},"
1956,Full Shadow,3,29.8,32.9,"{year:""1956"",avg_feb:29.8,avg_mar:32.9},"
1957,Full Shadow,3,31.4,36.1,"{year:""1957"",avg_feb:31.4,avg_mar:36.1},"
1958,Full Shadow,3,20.4,33.7,"{year:""1958"",avg_feb:20.4,avg_mar:33.7},"
1959,Full Shadow,3,27,34.1,"{year:""1959"",avg_feb:27,avg_mar:34.1},"
1960,Full Shadow,3,28.6,24.5,"{year:""1960"",avg_feb:28.6,avg_mar:24.5},"
1961,Full Shadow,3,28.9,37.1,"{year:""1961"",avg_feb:28.9,avg_mar:37.1},"
1962,Full Shadow,3,25.4,34.2,"{year:""1962"",avg_feb:25.4,avg_mar:34.2},"
1963,Full Shadow,3,18.4,37.5,"{year:""1963"",avg_feb:18.4,avg_mar:37.5},"
1964,Full Shadow,3,23.6,36.9,"{year:""1964"",avg_feb:23.6,avg_mar:36.9},"
1965,Full Shadow,3,26.2,32.1,"{year:""1965"",avg_feb:26.2,avg_mar:32.1},"
1966,Full Shadow,3,26.5,37.5,"{year:""1966"",avg_feb:26.5,avg_mar:37.5},"
1967,Full Shadow,3,22.6,34.4,"{year:""1967"",avg_feb:22.6,avg_mar:34.4},"
1968,Full Shadow,3,22.3,38.4,"{year:""1968"",avg_feb:22.3,avg_mar:38.4},"
1969,Full Shadow,3,26.7,32.7,"{year:""1969"",avg_feb:26.7,avg_mar:32.7},"
1970,No Shadow,1,25.3,31.6,"{year:""1970"",avg_feb:25.3,avg_mar:31.6},"
1971,Full Shadow,3,27.5,32.5,"{year:""1971"",avg_feb:27.5,avg_mar:32.5},"
1972,Full Shadow,3,23.2,33.1,"{year:""1972"",avg_feb:23.2,avg_mar:33.1},"
1973,Full Shadow,3,25.5,42.9,"{year:""1973"",avg_feb:25.5,avg_mar:42.9},"
1974,Full Shadow,3,26.2,36.9,"{year:""1974"",avg_feb:26.2,avg_mar:36.9},"
1975,No Shadow,1,28.8,33.7,"{year:""1975"",avg_feb:28.8,avg_mar:33.7},"
1976,Full Shadow,3,33.5,40.8,"{year:""1976"",avg_feb:33.5,avg_mar:40.8},"
1977,Full Shadow,3,26.1,41.2,"{year:""1977"",avg_feb:26.1,avg_mar:41.2},"
1978,Full Shadow,3,17.2,31.9,"{year:""1978"",avg_feb:17.2,avg_mar:31.9},"
1979,Full Shadow,3,16.4,39.4,"{year:""1979"",avg_feb:16.4,avg_mar:39.4},"
1980,Full Shadow,3,23,33.3,"{year:""1980"",avg_feb:23,avg_mar:33.3},"
1981,Full Shadow,3,30.7,34.1,"{year:""1981"",avg_feb:30.7,avg_mar:34.1},"
1982,Full Shadow,3,26.9,34.9,"{year:""1982"",avg_feb:26.9,avg_mar:34.9},"
1983,No Shadow,1,29.8,38.7,"{year:""1983"",avg_feb:29.8,avg_mar:38.7},"
1984,Full Shadow,3,33.8,29.5,"{year:""1984"",avg_feb:33.8,avg_mar:29.5},"
1985,Full Shadow,3,27.1,38.3,"{year:""1985"",avg_feb:27.1,avg_mar:38.3},"
1986,No Shadow,1,26.7,38,"{year:""1986"",avg_feb:26.7,avg_mar:38},"
1987,Full Shadow,3,26.8,39,"{year:""1987"",avg_feb:26.8,avg_mar:39},"
1988,No Shadow,1,26.8,37.2,"{year:""1988"",avg_feb:26.8,avg_mar:37.2},"
1989,Full Shadow,3,27.1,36.7,"{year:""1989"",avg_feb:27.1,avg_mar:36.7},"
1990,No Shadow,1,33.9,40.2,"{year:""1990"",avg_feb:33.9,avg_mar:40.2},"
1991,Full Shadow,3,32.4,39.5,"{year:""1991"",avg_feb:32.4,avg_mar:39.5},"
1992,Full Shadow,3,30.9,34.5,"{year:""1992"",avg_feb:30.9,avg_mar:34.5},"
1993,Full Shadow,3,23.5,32.8,"{year:""1993"",avg_feb:23.5,avg_mar:32.8},"
1994,Full Shadow,3,24.1,33.8,"{year:""1994"",avg_feb:24.1,avg_mar:33.8},"
1995,No Shadow,1,23.9,39.7,"{year:""1995"",avg_feb:23.9,avg_mar:39.7},"
1996,Full Shadow,3,27,31.8,"{year:""1996"",avg_feb:27,avg_mar:31.8},"
1997,No Shadow,1,33,37.6,"{year:""1997"",avg_feb:33,avg_mar:37.6},"
1998,Full Shadow,3,35.8,39.7,"{year:""1998"",avg_feb:35.8,avg_mar:39.7},"
1999,No Shadow,1,31.7,34.2,"{year:""1999"",avg_feb:31.7,avg_mar:34.2},"
2000,Full Shadow,3,31.6,42.6,"{year:""2000"",avg_feb:31.6,avg_mar:42.6},"
2001,Full Shadow,3,31.5,33.3,"{year:""2001"",avg_feb:31.5,avg_mar:33.3},"
2002,Full Shadow,3,33.9,38.2,"{year:""2002"",avg_feb:33.9,avg_mar:38.2},"
2003,Full Shadow,3,23.8,37.2,"{year:""2003"",avg_feb:23.8,avg_mar:37.2},"
2004,Full Shadow,3,27,39.5,"{year:""2004"",avg_feb:27,avg_mar:39.5},"
2005,Full Shadow,3,30.1,32.3,"{year:""2005"",avg_feb:30.1,avg_mar:32.3},"
2006,Full Shadow,3,29.8,37,"{year:""2006"",avg_feb:29.8,avg_mar:37},"
2007,No Shadow,1,20.1,37.4,"{year:""2007"",avg_feb:20.1,avg_mar:37.4},"
2008,Full Shadow,3,27.7,35.6,"{year:""2008"",avg_feb:27.7,avg_mar:35.6},"
2009,Full Shadow,3,29.6,38.2,"{year:""2009"",avg_feb:29.6,avg_mar:38.2},"
2010,Full Shadow,3,25.8,42,"{year:""2010"",avg_feb:25.8,avg_mar:42},"
2011,No Shadow,1,28.6,36.3,"{year:""2011"",avg_feb:28.6,avg_mar:36.3},"
2012,Full Shadow,3,34.3,47.7,"{year:""2012"",avg_feb:34.3,avg_mar:47.7},"
2013,No Shadow,1,27.4,33.9,"{year:""2013"",avg_feb:27.4,avg_mar:33.9},"
2014,Full Shadow,3,22.8,30.3,"{year:""2014"",avg_feb:22.8,avg_mar:30.3},"
2015,Full Shadow,3,16.1,31.6,"{year:""2015"",avg_feb:16.1,avg_mar:31.6},"
2016,No Shadow,1,30.8,43.4,"{year:""2016"",avg_feb:30.8,avg_mar:43.4},"