Week,Counts,Year,Size
1,86,2014,9.273618495
2,54,2014,7.348469228
3,154,2014,12.40967365
4,79,2014,8.888194417
5,106,2014,10.29563014
6,109,2014,10.44030651
7,85,2014,9.219544457
8,119,2014,10.90871211
9,27,2014,5.196152423
10,83,2014,9.110433579
11,28,2014,5.291502622
12,48,2014,6.92820323
13,134,2014,11.5758369
14,105,2014,10.24695077
15,84,2014,9.16515139
16,65,2014,8.062257748
17,63,2014,7.937253933
18,80,2014,8.94427191
19,83,2014,9.110433579
20,27,2014,5.196152423
21,113,2014,10.63014581
22,142,2014,11.91637529
23,121,2014,11
24,236,2014,15.3622915
25,98,2014,9.899494937
26,27,2014,5.196152423
27,111,2014,10.53565375
28,137,2014,11.70469991
29,85,2014,9.219544457
30,163,2014,12.76714533
31,100,2014,10
32,123,2014,11.09053651
33,149,2014,12.20655562
34,175,2014,13.22875656
35,162,2014,12.72792206
36,103,2014,10.14889157
37,78,2014,8.831760866
38,117,2014,10.81665383
39,65,2014,8.062257748
40,92,2014,9.591663047
41,109,2014,10.44030651
42,119,2014,10.90871211
43,65,2014,8.062257748
44,101,2014,10.04987562
45,67,2014,8.185352772
46,77,2014,8.774964387
47,86,2014,9.273618495
48,115,2014,10.72380529
49,86,2014,9.273618495
50,125,2014,11.18033989
51,69,2014,8.306623863
52,115,2014,10.72380529
1,116,2015,10.77032961
2,310,2015,17.60681686
3,160,2015,12.64911064
4,130,2015,11.40175425
5,185,2015,13.60147051
6,150,2015,12.24744871
7,162,2015,12.72792206
8,185,2015,13.60147051
9,166,2015,12.88409873
10,181,2015,13.45362405
11,125,2015,11.18033989
12,127,2015,11.26942767
13,131,2015,11.44552314
14,141,2015,11.87434209
15,139,2015,11.78982612
16,202,2015,14.2126704
17,223,2015,14.93318452
18,139,2015,11.78982612
19,154,2015,12.40967365
20,162,2015,12.72792206
21,136,2015,11.66190379
22,13,2015,3.605551275
23,57,2015,7.549834435
24,217,2015,14.73091986
25,233,2015,15.26433752
26,238,2015,15.42724862
27,132,2015,11.48912529
28,144,2015,12
29,83,2015,9.110433579
30,227,2015,15.06651917
31,204,2015,14.28285686
32,160,2015,12.64911064
33,189,2015,13.74772708
34,235,2015,15.32970972
35,217,2015,14.73091986
36,147,2015,12.12435565
37,180,2015,13.41640786
38,103,2015,10.14889157
39,74,2015,8.602325267
40,111,2015,10.53565375
41,154,2015,12.40967365
42,237,2015,15.39480432
43,248,2015,15.74801575
44,171,2015,13.07669683
45,119,2015,10.90871211
46,138,2015,11.74734012
47,175,2015,13.22875656
48,77,2015,8.774964387
49,86,2015,9.273618495
50,125,2015,11.18033989
51,181,2015,13.45362405
52,84,2015,9.16515139
1,265,2016,16.2788206
2,262,2016,16.18641406
3,235,2016,15.32970972
4,165,2016,12.84523258
5,212,2016,14.56021978
6,165,2016,12.84523258
7,157,2016,12.52996409
8,156,2016,12.489996
9,168,2016,12.9614814
10,109,2016,10.44030651
11,7,2016,2.645751311
12,60,2016,7.745966692
13,130,2016,11.40175425
14,256,2016,16
15,158,2016,12.56980509
16,159,2016,12.60952021
17,115,2016,10.72380529
18,294,2016,17.1464282
19,191,2016,13.82027496
20,170,2016,13.03840481
21,208,2016,14.4222051
22,147,2016,12.12435565
23,182,2016,13.49073756
24,55,2016,7.416198487
25,158,2016,12.56980509
26,168,2016,12.9614814
27,85,2016,9.219544457
28,208,2016,14.4222051
29,143,2016,11.95826074
30,219,2016,14.79864859
31,204,2016,14.28285686
32,266,2016,16.30950643
33,266,2016,16.30950643
34,245,2016,15.65247584
35,297,2016,17.23368794
36,291,2016,17.05872211
37,197,2016,14.03566885
38,252,2016,15.87450787
39,200,2016,14.14213562
40,186,2016,13.6381817
41,166,2016,12.88409873
42,214,2016,14.62873884
43,219,2016,14.79864859
44,203,2016,14.24780685
45,150,2016,12.24744871
46,139,2016,11.78982612
47,179,2016,13.37908816
48,214,2016,14.62873884
49,173,2016,13.15294644
50,178,2016,13.34166406
51,170,2016,13.03840481
52,200,2016,14.14213562